work,word,count,total,fpm,source_id,title,author,pub_date
3790,ballad,38,26149,1453.210447818272,osu.32435078160819,On translating Homer :,"Arnold, Matthew, 1822-1888",1861
1851,ballad,62,43547,1423.749052747606,mdp.39015014699634,"On translating Homer,","Arnold, Matthew, 1822-1888",1896
1720,ballad,169,118801,1422.5469482580113,mdp.39015028765124,"Reliques of ancient English poetry: consisting of old heroic ballads, songs, and other pieces of our earlier poets;","Percy, Thomas, 1729-1811",1858
1512,ballad,677,481629,1405.646254689813,mdp.39015033689772,"Collections and notes, 1867-1876;","Hazlitt, William Carew, 1834-1913",1882
3304,ballad,159,113420,1401.8691588785045,nyp.33433074838040,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811",1812
1832,ballad,157,112532,1395.1587104112607,mdp.39015016457338,Reliques of ancient English poetry;,"Percy, Thomas, 1729-1811",1844
185,ballad,156,112758,1383.4938540946096,hvd.hwpae9,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811, ed",1844
284,ballad,154,113226,1360.111635136806,hvd.hw37nc,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811",1839
1998,ballad,225,170057,1323.0857888825512,mdp.39015005361442,"The beginnings of poetry,","Gummere, Francis Barton, 1855-1919",1901
1763,ballad,225,170471,1319.872588299476,mdp.39015024324215,"The beginnings of poetry,","Gummere, Francis Barton, 1855-1919",1908
1719,ballad,106,81131,1306.5289470116231,mdp.39015028765132,"Reliques of ancient English poetry: consisting of old heroic ballads, songs, and other pieces of our earlier poets;","Percy, Thomas, 1729-1811",1858
3930,ballad,245,188071,1302.6995124181826,uc1.b3310854,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811",1883
4135,ballad,11,8535,1288.8107791446982,uc1.$b318123,The true historie of the Knyght of the burning pestle :,"Alden, Raymond Macdonald, 1873-1924",1903
3305,ballad,103,81672,1261.142129493584,nyp.33433074838032,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811",1812
3644,ballad,146,115860,1260.1415501467288,nyp.33433067366751,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811, ed",1823
184,ballad,101,81413,1240.5881124636114,hvd.hwpaea,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811, ed",1844
941,ballad,406,328201,1237.0468097294035,loc.ark:/13960/t8df7nn5n,Reliques of ancient English poetry.,,1870
3645,ballad,101,81711,1236.0636878755613,nyp.33433067366744,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811, ed",1823
